CountryOrTerritory,Namespace,Network,ResponsibleParty,TimeZone,StationName,EoICode,StationType,StationArea,Pollutant,SamplingPointId,Latitude,Longitude,Altitudee,MeasurementRegime,OperationalActivityBegin,OperationalActivityEnd,Sample,SamplingProcess,MeasurementEquipment,MeasurementMethod,SamplingEquipment,AnalyticalTechnique,envelope
Spain,ES.BDCA.AQD,CCAA Andalucía,"CONSEJERIA DE AGRICULTURA, GANADERIA, PESCA Y DESARROLLO SOSTENIBLE. DIRECCION GENERAL DE CALIDAD AMBIENTAL Y CAMBIO CLIMATICO (JUNTA DE ANDALUCIA)",UTC,E2: ALCORNOCALES,ES1648A,Background,Rural,Nitrogen oxides (air),SP_11008009_12_8,36.23386,-5.6635,189,Continuous data collection,2003-01-28T00:00:00Z,2015-11-23T00:00:00Z,SAM_11008009_12_8,SPP_11008009_12_8.1,Unknown,Chemiluminescence,,,http://cdr.eionet.europa.eu/es/eu/aqd/d/envxfin7q
Spain,ES.BDCA.AQD,CCAA Andalucía,"CONSEJERIA DE AGRICULTURA, GANADERIA, PESCA Y DESARROLLO SOSTENIBLE. DIRECCION GENERAL DE CALIDAD AMBIENTAL Y CAMBIO CLIMATICO (JUNTA DE ANDALUCIA)",UTC,CARTEYA (S9),ES1169A,Industrial,Suburban,Sulphur dioxide (air),SP_11033004_1_38,36.20879,-5.39138,51,Continuous data collection,1992-01-01T00:00:00Z,,SAM_11033004_1_38,SPP_11033004_1_38.1,Unknown,UV fluorescence,,,http://cdr.eionet.europa.eu/es/eu/aqd/d/envxfin7q
Spain,ES.BDCA.AQD,CCAA Com. Valenciana,"CONSELLERIA DE AGRICULTURA, MEDIO AMBIENTE, CAMBIO CLIMATICO Y DESARROLLO RURAL (VALENCIA)",UTC,ALCORA,ES1685A,Industrial,Urban,Nitrogen dioxide (air),SP_12005005_8_8,40.05194444,-0.18972222,160,Continuous data collection,2004-01-01T00:00:00Z,,SAM_12005005_8_8,SPP_12005005_8_8.1,Unknown,Chemiluminescence,,,http://cdr.eionet.europa.eu/es/eu/aqd/d/envxfin7q
Spain,ES.BDCA.AQD,CCAA Com. Valenciana,"CONSELLERIA DE AGRICULTURA, MEDIO AMBIENTE, CAMBIO CLIMATICO Y DESARROLLO RURAL (VALENCIA)",UTC,BENICASSIM,ES1687A,Industrial,Suburban,Nitrogen dioxide (air),SP_12028001_8_8,40.06222222,0.07277777,50,Continuous data collection,2004-01-01T00:00:00Z,,SAM_12028001_8_8,SPP_12028001_8_8.1,Unknown,Chemiluminescence,,,http://cdr.eionet.europa.eu/es/eu/aqd/d/envxfin7q
Spain,ES.BDCA.AQD,CCAA Com. Valenciana,"CONSELLERIA DE AGRICULTURA, MEDIO AMBIENTE, CAMBIO CLIMATICO Y DESARROLLO RURAL (VALENCIA)",UTC,CIRAT,ES1689A,Background,Rural,Benzo(k)fluoranthene in PM10 (aerosol),SP_12046001_96_M,40.05416666,-0.46833333,466,Continuous data collection,2010-06-01T00:00:00Z,,SAM_12046001_96_M,SPP_12046001_96_M.1,,,,Gas chromatography + mass spectrometry (GC-MS),http://cdr.eionet.europa.eu/es/eu/aqd/d/envxfin7q
Spain,ES.BDCA.AQD,CCAA Com. Valenciana,"CONSELLERIA DE AGRICULTURA, MEDIO AMBIENTE, CAMBIO CLIMATICO Y DESARROLLO RURAL (VALENCIA)",UTC,CIRAT,ES1689A,Background,Rural,Benzo(a)anthracene in PM10 (aerosol),SP_12046001_99_M,40.05416666,-0.46833333,466,Continuous data collection,2010-06-01T00:00:00Z,,SAM_12046001_99_M,SPP_12046001_99_M.1,,,,Gas chromatography + mass spectrometry (GC-MS),http://cdr.eionet.europa.eu/es/eu/aqd/d/envxfin7q
Spain,ES.BDCA.AQD,CCAA Cast. la Mancha,"CONSEJERÍA DE AGRICULTURA, MEDIO AMBIENTE Y DESARROLLO RURAL. VICECONSEJERÍA DE MEDIO AMBIENTE (CASTILLA LA MANCHA)",UTC,CAMPO DE FÚTBOL,ES1279A,Industrial,Suburban,Cadmium in PM10 (aerosol),SP_13071015_28_M,38.68198,-4.08858,685,Continuous data collection,2010-01-01T00:00:00Z,,SAM_13071015_28_M,SPP_13071015_28_M.2,,,,"Other, please specify",http://cdr.eionet.europa.eu/es/eu/aqd/d/envxfin7q
Spain,ES.BDCA.AQD,CCAA Cast. la Mancha,"CONSEJERÍA DE AGRICULTURA, MEDIO AMBIENTE Y DESARROLLO RURAL. VICECONSEJERÍA DE MEDIO AMBIENTE (CASTILLA LA MANCHA)",UTC,CAMPO DE FÚTBOL,ES1279A,Industrial,Suburban,Benzene (air),SP_13071015_30_59,38.68198,-4.08858,685,Continuous data collection,2018-11-29T00:00:00Z,,SAM_13071015_30_59,SPP_13071015_30_59.2,AMA GC5000 BTX Type PID,Gas chromatography followed by photo ionization detection (GC-PID),,,http://cdr.eionet.europa.eu/es/eu/aqd/d/envxfin7q
Spain,ES.BDCA.AQD,CCAA Cast. la Mancha,"CONSEJERÍA DE AGRICULTURA, MEDIO AMBIENTE Y DESARROLLO RURAL. VICECONSEJERÍA DE MEDIO AMBIENTE (CASTILLA LA MANCHA)",UTC,CAMPO DE FÚTBOL,ES1279A,Industrial,Suburban,Carbon monoxide (air),SP_13071015_6_48,38.68198,-4.08858,685,Continuous data collection,2003-05-31T00:00:00Z,2013-09-20T00:00:00Z,SAM_13071015_6_48,SPP_13071015_6_48.1,Teledyne API 300E gas filter correlation CO analyser,Non-dispersive infrared spectroscopy (NDIR),,,http://cdr.eionet.europa.eu/es/eu/aqd/d/envxfin7q
Spain,ES.BDCA.AQD,CCAA Andalucía,"CONSEJERIA DE AGRICULTURA, GANADERIA, PESCA Y DESARROLLO SOSTENIBLE. DIRECCION GENERAL DE CALIDAD AMBIENTAL Y CAMBIO CLIMATICO (JUNTA DE ANDALUCIA)",UTC,LEPANTO,ES1799A,Background,Urban,Particulate matter < 10 µm (aerosol),SP_14021007_10_49,37.89261,-4.76234,119,Continuous data collection,2018-12-20T00:00:00Z,,SAM_14021007_10_49,SPP_14021007_10_49.2,Thermo 5014i Beta Continuous Ambient Particulate Monitor,Beta ray attenuation,,,http://cdr.eionet.europa.eu/es/eu/aqd/d/envxfin7q
